zip,type,state,district,boroughs
67256,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Weisenheim am Sand
67098,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Annaberg (zu Kallstadt)|Lindemannsruhe (zu Freinsheim)
67271,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Battenberg
67281,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Bissersheim
67278,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Bockenheim an der Weinstraße
67246,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Dirmstein
67280,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Ebertsheim
67229,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Gerolsheim
67229,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Großkarlbach
67271,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Kindenheim
67281,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Kirchheim an der Weinstraße
67271,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Kleinkarlbach
67229,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Laumersheim
67271,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Mertesheim
67271,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Neuleiningen
67271,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Obersülzen
67283,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Obrigheim (Pfalz)
67280,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Quirnheim
67317,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Altleiningen
67316,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Carlsberg
67310,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Hettenleidelheim
67311,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Tiefenthal
67319,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Wattenheim
67471,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Elmstein
67472,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Esthal
67468,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Frankeneck
67466,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Lambrecht (Pfalz)
67473,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Lindenberg
67468,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Neidenfels
67475,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Weidenthal
67158,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Ellerstadt
67159,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Friedelsheim
67161,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Gönnheim
67157,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Wachenheim an der Weinstraße
67098,3,Rheinland-Pfalz,Landkreis Bad Dürkheim,Mundhardterhof (zu Wachenheim an der Weinstraße)
76726,2,Rheinland-Pfalz,Landkreis Germersheim,Germersheim
76744,2,Rheinland-Pfalz,Landkreis Germersheim,Wörth am Rhein
76756,3,Rheinland-Pfalz,Landkreis Germersheim,Bellheim
76879,3,Rheinland-Pfalz,Landkreis Germersheim,Knittelsheim
76879,3,Rheinland-Pfalz,Landkreis Germersheim,Ottersheim bei Landau
67378,3,Rheinland-Pfalz,Landkreis Germersheim,Zeiskam
76768,3,Rheinland-Pfalz,Landkreis Germersheim,Berg (Pfalz)
76767,3,Rheinland-Pfalz,Landkreis Germersheim,Hagenbach
76776,3,Rheinland-Pfalz,Landkreis Germersheim,Neuburg am Rhein
76779,3,Rheinland-Pfalz,Landkreis Germersheim,Scheibenhardt
76770,3,Rheinland-Pfalz,Landkreis Germersheim,Hatzenbühl
76751,3,Rheinland-Pfalz,Landkreis Germersheim,Jockgrim
76777,3,Rheinland-Pfalz,Landkreis Germersheim,Neupotz
76764,3,Rheinland-Pfalz,Landkreis Germersheim,Rheinzabern
76872,3,Rheinland-Pfalz,Landkreis Germersheim,Erlenbach bei Kandel
76872,3,Rheinland-Pfalz,Landkreis Germersheim,Freckenfeld
76870,3,Rheinland-Pfalz,Landkreis Germersheim,Kandel
76872,3,Rheinland-Pfalz,Landkreis Germersheim,Minfeld
76872,3,Rheinland-Pfalz,Landkreis Germersheim,Steinweiler
76744,3,Rheinland-Pfalz,Landkreis Germersheim,Vollmersweiler
76872,3,Rheinland-Pfalz,Landkreis Germersheim,Winden (Pfalz)
67361,3,Rheinland-Pfalz,Landkreis Germersheim,Freisbach
67360,3,Rheinland-Pfalz,Landkreis Germersheim,Lingenfeld
67363,3,Rheinland-Pfalz,Landkreis Germersheim,Lustadt
67365,3,Rheinland-Pfalz,Landkreis Germersheim,Schwegenheim
67366,3,Rheinland-Pfalz,Landkreis Germersheim,Weingarten (Pfalz)
67368,3,Rheinland-Pfalz,Landkreis Germersheim,Westheim (Pfalz)
76771,3,Rheinland-Pfalz,Landkreis Germersheim,Hördt
76773,3,Rheinland-Pfalz,Landkreis Germersheim,Kuhardt
76774,3,Rheinland-Pfalz,Landkreis Germersheim,Leimersheim
76761,3,Rheinland-Pfalz,Landkreis Germersheim,Rülzheim
76857,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Albersweiler
76855,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Annweiler am Trifels
76857,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Dernbach
76857,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Eußerthal
76857,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Gossersweiler-Stein
76857,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Münchweiler
76857,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Ramberg
76857,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Rinnthal
76857,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Silz
76857,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Völkersweiler
76857,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Waldhambach
76857,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Waldrohrbach
76857,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Wernersberg
76887,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Bad Bergzabern
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Barbelroth
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Birkenhördt
76887,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Böllenborn
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Dierbach
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Dörrenbach
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Gleiszellen-Gleishorbach
76872,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Hergersweiler
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Kapellen-Drusweiler
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Kapsweyer
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Klingenmünster
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Niederhorbach
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Niederotterbach
76887,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Oberhausen bei Bad Bergzabern
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Oberotterbach
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Oberschlettenbach
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Pleisweiler-Oberhofen
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Schweigen-Rechtenbach
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Schweighofen
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Steinfeld
76889,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Vorderweidenthal
67482,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Altdorf
67482,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Böbingen
76835,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Burrweiler
67480,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Edenkoben
67483,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Edesheim
76835,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Flemlingen
67482,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Freimersheim
76835,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Gleisweiler
67377,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Gommersheim
67483,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Großfischlingen
76835,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Hainfeld
67483,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Kleinfischlingen
76835,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Rhodt unter Rietburg
67487,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Roschbach
67482,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Venningen
76835,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Weyher in der Pfalz
76863,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Herxheim
76863,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Herxheimweyher
76865,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Insheim
76865,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Rohrbach
76831,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Billigheim-Ingenheim
76831,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Birkweiler
76833,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Böchingen
76831,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Eschbach
76833,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Frankweiler
76831,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Göcklingen
76831,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Heuchelheim-Klingen
76831,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Ilbesheim
76831,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Impflingen
76833,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Knöringen
76829,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Leinsweiler
76829,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Ranschbach
76833,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Siebeldingen
76833,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Walsheim
67489,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Kirrweiler
67487,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Maikammer
67487,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,St. Martin
76879,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Bornheim
76879,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Essingen
76879,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Hochstadt
76877,3,Rheinland-Pfalz,Landkreis Südliche Weinstraße,Offenbach an der Queich
